Edible,Color,Shape,Surface
P,Pale,Polypore,Smooth
E,White,Convex-BellShaped,Smooth
E,White-Yellow,Convex,Smooth
E,White,BellShaped-Convex,Smooth
E,Brown,BellShaped-Convex,FlatScales
E,,Convex-Flat,Fibrous
E,White,Convex,FlatScales
E,White-Pale,Convex-Flat,Smooth
E,White,Convex-Flat,Smooth
E,White,Convex,Smooth
E,White,Convex,Smooth
E,White-Brown,Convex,Smooth
E,Pink-Brown,Convex-Flat,Fibrous
E,Pale,Convex-Flat,FlatScales
P,White-Brown,Convex,Fibrous
E,Purple-Brown,Convex,FlatScales
P,White,Convex-Flat,Smooth
E,White,Convex-Flat,Fibrous
E,Brown,Convex,Smooth
P,White,Convex-Flat,FlatScales
E,White,Convex-Flat,Smooth
P,White-Brown,Convex-Flat,FlatScales
I,White-Brown,Convex-Flat,Smooth
P,Brown,Convex,Fibrous
E,Brown,Convex-Flat,Smooth
E,Brown,Convex,FlatScales
E,White,Convex-Flat,Smooth
P,White-Pale,Convex-Flat,Smooth
E,Yellow,Convex-Flat,Smooth
P,Yellow,Convex-Flat,Smooth
E,Brown,Convex-Flat,Smooth
E,Pale-Brown,Convex-Flat,Smooth
E,Pale-Tan,Convex,Smooth
E,Pale,Convex-Flat,
P,White,Convex-Depressed,Smooth
E,Yellow,Depressed,FlatScales
E,Orange,CupFungi,Smooth
E,Purple,CoralFungi,Smooth
P,Brown-Gray,Convex-Knobbed,Smooth
E,Orange,Convex,Smooth
E,Brown,BellShaped-Flat,Smooth
I,White,Convex-Flat,Patches
P,Orange,Convex-Flat,Smooth
P,White,Convex,RaisedScales
I,Pale-White,Convex,Smooth
P,Brown-Gray,Convex-Flat,Patches
I,Yellow,Convex-Flat,Patches
E,Brown,Conical-Convex,Smooth
P,Yellow,Convex-Flat,Smooth
P,Red,Convex-Flat,Patches
P,White,Convex,Smooth
E,White,Convex-Flat,Smooth
E,Brown,Convex,Smooth
P,Brown,Convex-Flat,Patches
P,Yellow,Convex,Smooth
P,Gray-Brown,Convex-Flat,Smooth
P,White,Convex-Flat,Smooth
P,Brown,Convex-Flat,Patches
E,Brown,Convex-Flat,Patches
P,White-Pale,Convex,Patches
P,Brown-Gray,Convex-Flat,Smooth
E,Gray,Convex-Flat,Smooth
P,White,BellShaped-Convex,Smooth
P,White,Convex-Flat,RaisedScales
P,White,Convex-BellShaped,Smooth
P,White,Convex-Flat,Patches
P,Brown,Depressed,Smooth
E,Gray-Brown,Flat-Depressed,Smooth
P,Orange-Brown,Convex,RaisedScales
P,Brown,Convex-Flat,Smooth
P,Yellow-Brown,Convex-Flat,Hairy
E,Brown-Yellow,Convex,Smooth
E,Brown,Convex,RaisedScales
E,Brown-Yellow,Convex-Flat,Smooth
P,Gray-Dark,Depressed,Smooth
E,White,CoralFungi,Smooth
I,Purple,CupFungi,Smooth
P,Purple,JellyFungi-CupFungi,Smooth
P,Red,Stinkhorns,
I,Brown,Convex,Powder
P,White,Convex,Silky
I,Brown-White,Earthstars,
I,White,,
E,Brown,Convex-Bolete,Smooth
E,Brown,JellyFungi,Silky
E,Pale,,Smooth
E,Brown-Dark,CupFungi,Hairy
P,Dark-Brown,Convex-ToothFungi,Hairy
E,Brown,Convex,Silky
I,Brown,Convex,Powder
I,Yellow,CupFungi,Smooth
I,Yellow,CupFungi,
I,Gray,Polypore-ShellShaped,Hairy
P,Yellow,BellShaped,Smooth
E,Brown-Yellow,Convex-FunnelShaped,Smooth
E,Gray-Dark,Convex-Depressed,Smooth
E,Dark,Convex-Bolete,Smooth
